,,ID:059,引導,評估(口語、跟讀的內容有關),評估(非口語、寶寶自發性動作、跟讀的內容有關),延伸討論 2 大月齡或發展較快者(物體為主角討論),複述,開放式問題,填空,回想,人事時地物問句,,,,,,連結生活經驗(跟小朋友本身相關的),備註
,,12M,,,,,,,,,人(who),事物(what),時(when),地(where),理由(why),如何(how),,*PEER連續行為僅在起始點code一次; 語助詞不code (大象在哪裡? 大象餒?) 
,,總計,19,1,9,0,0,0,0,0,1,1,0,12,0,0,5,*CROWD重複行為可重複code
start,,text,,,,,,,,,,,,,,,,
00:02,*MOT,"哇,遊戲時間躲貓貓",,,,,,,,,,,,,,,,
00:05,*MOT,"哇,你看這邊有咖啡色的熊熊耶",,,,,,,,,,,,,,,,
00:09,*MOT,"喔,你摸摸他的毛毛是不是很軟啊",,,,,,,,,,,,,,,,
00:13,*MOT,毛毛的對不對,,,,,,,,,,,,,,,,
00:15,*MOT,耶比,,,,,,,,,,,,,,,,
00:17,*MOT,"你看喔,哇",,,,,,,,,,,,,,,,
00:19,*MOT,這裡有個baby，也跟你一樣可愛的baby喔,,,,,,,,,,,,,,,1,
00:23,*MOT,"哇,有一隻很大",,,,,,,,,,,,,,,,
00:25,*MOT,大耳朵的大象在哪裡,,,,,,,,,,,,1,,,,
00:27,*MOT,"喔,在哪裡 (寶寶翻回封頁)-評估",,,1,,,,,,,,,,,,,
00:30,*MOT,"登愣,找到了",,,,,,,,,,,,,,,,
00:32,*MOT,"你看,這裡有一個毛茸茸的耳朵",,,,,,,,,,,,,,,,
00:36,*MOT,毛茸茸的耳朵,,,,,,,,,,,,,,,,
宇,*act,寶寶摸大象耳朵,,,,,,,,,,,,,,,,
00:39,*MOT,這個很舒服,,,1,,,,,,,,,,,,,
燕,*act,寶寶關書,,,,,,,,,,,,,,,,
00:43,*MOT,喔你比較喜歡這個熊熊的,,,1,,,,,,,,,,,,,
00:46,*MOT,毛毛的,,,,,,,,,,,,,,,,
00:49,*MOT,哇,,,,,,,,,,,,,,,,
00:51,*MOT,"你看,這裡有一個橘色的帽子耶",,,,,,,,,,,,,,,,
00:55,*MOT,橘色的帽子喔,,,,,,,,,,,,,,,,
00:57,*MOT,"哇,這個帽子的附近",,,,,,,,,,,,,,,,
01:00,*MOT,好像有一隻可愛的小馬耶,,,,,,,,,,,,,,,,
01:03,*MOT,"天啊,小馬在哪裡呢",,,,,,,,,,,,1,,,,
01:06,*MOT,小馬在,,,,,,,,,,,,,,,,
01:07,*MOT,帽子的在後面嗎,,,,,,,,,,,,,,,,
01:09,*MOT,找找看 小馬在哪裡,,,,,,,,,,,,1,,,,
01:11,*MOT,在哪裡,,,,,,,,,,,,,,,,
01:12,*MOT,你來看看小馬在哪裡,,,,,,,,,,,,,,,,
01:14,*MOT,"喔,小馬在這裡",,,,,,,,,,,,,,,,
01:17,*MOT,你看,,,,,,,,,,,,,,,,
01:18,*MOT,"小馬,小馬",,,,,,,,,,,,,,,,
01:20,*MOT,來摸摸 好可愛的小馬,,,,,,,,,,,,,,,,
01:22,*MOT,啊要輕輕的摸,,,,,,,,,,,,,,,,
01:24,*MOT,輕輕的摸,,,,,,,,,,,,,,,,
01:31,*MOT,"哇,這邊有一個",,,,,,,,,,,,,,,,
01:33,*MOT,小的男生,,,,,,,,,,,,,,,,
01:35,*MOT,一個小朋友耶,,,,,,,,,,,,,,,,
燕,*act,寶寶摸書,,,,,,,,,,,,,,,,
01:37,*MOT,他在開紅色的消防車喔,,,1,,,,,,,,,,,,,
01:40,*MOT,哇紅色消防車上面有消防員耶,,,,,,,,,,,,,,,,
01:43,*MOT,消防員在哪裡,,,,,,,,,,,,1,,,,
01:45,*MOT,消防員在哪裡,,,,,,,,,,,,,,,,
01:47,*MOT,看!找到了,,,,,,,,,,,,,,,,
01:49,*MOT,消防車在這裡,,,,,,,,,,,,,,,,
01:51,*MOT,"哇,這裡有幾個消防員",,,,,,,,,1,,,,,,,
01:53,*MOT,"一,二,三,四",,,,,,,,,,,,,,,,
01:55,*MOT,"五,六,有六個消防員欸",,,,,,,,,,,,,,,,
02:03,*MOT,你看他們戴著黃色的帽子,,,,,,,,,,,,,,,,
02:06,*MOT,穿著藍色的衣服喔,,,,,,,,,,,,,,,,
02:11,*MOT,喔咿喔咿 準備出發囉,,,,,,,,,,,,,,,,
02:13,*MOT,哇 你看 你看,,,,,,,,,,,,,,,,
02:15,*MOT,彩色的小火車在哪裡,,,,,,,,,,,,1,,,,
02:18,*MOT,你看 彩色的小火車在哪裡,,,,,,,,,,,,,,,,
02:21,*MOT,嘟嘟 傾嗆傾嗆,,,,,,,,,,,,,,,,
02:24,*MOT,嘟嘟 傾嗆傾嗆,,,,,,,,,,,,,,,,
02:27,*MOT,火車在哪裡,,,,,,,,,,,,1,,,,
02:29,*MOT,在這裡耶,,,,,,,,,,,,,,,,
02:31,*MOT,(寶寶名)最喜歡火車了對不對,,,,,,,,,,,,,,,,
02:33,*MOT,你要去哪裡,,,,,,,,,,,,,,,,
02:35,*MOT,哇 你看,,,,,,,,,,,,,,,,
